Zip,Municipality name,Group Admin One,Group Admin Two,Group Admin Three,Group Admin Four,Group Admin Five,Group Admin Six,Group Admin Seven,Group Admin Eight,Group Admin Nine,Group Admin Ten,Group Admin Notification Email
02703,Attleboro,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02475,Arlington,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02476,Arlington,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02474,Arlington,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02108,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02109,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02110,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02111,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02112,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02113,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02114,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02115,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02116,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02117,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02118,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
02119,Boston,nfreedman@newtonma.gov,fmaltez@ci.reading.ma.us,jlaverde@ci.reading.ma.us,csaunders@ci.reading.ma.us,,,,,,,notificationemail@example.com
