Zip,Municipality name,Email,Phone Number,IdCompany,Pick Up Available,Pick Up Program Name,Address Line 1,Address Line 2,Hours,Pick up instructions
01718,Acton,youthpass@acton-ma.gov,978-929-6513,50233,TRUE,"Town of Acton, Town Manager's Office",472 Main Street,"Acton, MA 01720","Hours: Monday, Wednesday, Thursday, 8 AM – 5 PM; Tuesday, 8 AM – 7:30 PM; Friday, 8 AM – 12 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Acton Youth Pass office to pick up your card:"
01719,Acton,youthpass@acton-ma.gov,978-929-6513,50233,TRUE,"Town of Acton, Town Manager's Office",472 Main Street,"Acton, MA 01720","Hours: Monday, Wednesday, Thursday, 8 AM – 5 PM; Tuesday, 8 AM – 7:30 PM; Friday, 8 AM – 12 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Acton Youth Pass office to pick up your card:"
01720,Acton,youthpass@acton-ma.gov,978-929-6513,50233,TRUE,"Town of Acton, Town Manager's Office",472 Main Street,"Acton, MA 01720","Hours: Monday, Wednesday, Thursday, 8 AM – 5 PM; Tuesday, 8 AM – 7:30 PM; Friday, 8 AM – 12 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Acton Youth Pass office to pick up your card:"
02703,Attleboro,healthoutreach@cityofattleboro.us,508-223-2222 ext. 3261,48764,TRUE,"Attleboro Health Department, Government Center",77 Park St,"Attleboro, MA 02703","Hours: Monday – Friday, 8:30 AM – 4:30 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Attleboro Youth Pass office to pick up your card:"
02475,Arlington,MBTAYouthPass@town.arlington.ma.us,781-316-3255,32125,TRUE,"Arlington Youth Counseling Center (AYCC), Whittemore Robbins House (behind Robbins Library)",670R Massachusetts Ave,"Arlington, MA 02476","Hours: Monday – Friday, 9 AM – 5 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Arlington Youth Pass office to pick up your card:"
02476,Arlington,MBTAYouthPass@town.arlington.ma.us,781-316-3255,32125,TRUE,"Arlington Youth Counseling Center (AYCC), Whittemore Robbins House (behind Robbins Library)",670R Massachusetts Ave,"Arlington, MA 02476","Hours: Monday – Friday, 9 AM – 5 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Arlington Youth Pass office to pick up your card:"
02474,Arlington,MBTAYouthPass@town.arlington.ma.us,781-316-3255,32125,TRUE,"Arlington Youth Counseling Center (AYCC), Whittemore Robbins House (behind Robbins Library)",670R Massachusetts Ave,"Arlington, MA 02476","Hours: Monday – Friday, 9 AM – 5 PM","Please email or call to schedule a time to pick up your Youth Pass. Once your appointment is confirmed, visit the Arlington Youth Pass office to pick up your card:"
02108,Boston,MBTAYouthPass@boston.gov,617-961-6981,32200,TRUE,"City of Boston, Office of Youth Engagement and Advancement",1481 Tremont St,"Boston, MA 02120","Hours: Monday – Friday, 10 AM – 5 PM","Visit the City of Boston, Office of Youth Engagement and Advancement, located near the Roxbury Crossing Orange Line Stop, to pick up your card. Walk-ins welcome. You do not need to schedule an appointment."
02109,Boston,MBTAYouthPass@boston.gov,617-961-6981,32200,TRUE,"City of Boston, Office of Youth Engagement and Advancement",1481 Tremont St,"Boston, MA 02120","Hours: Monday – Friday, 10 AM – 5 PM","Visit the City of Boston, Office of Youth Engagement and Advancement, located near the Roxbury Crossing Orange Line Stop, to pick up your card. Walk-ins welcome. You do not need to schedule an appointment."
02110,Boston,MBTAYouthPass@boston.gov,617-961-6981,32200,TRUE,"City of Boston, Office of Youth Engagement and Advancement",1481 Tremont St,"Boston, MA 02120","Hours: Monday – Friday, 10 AM – 5 PM","Visit the City of Boston, Office of Youth Engagement and Advancement, located near the Roxbury Crossing Orange Line Stop, to pick up your card. Walk-ins welcome. You do not need to schedule an appointment."
